prefix	obo	name	repository	message
hom	HOM	Homology Ontology	https://github.com/BgeeDB/homology-ontology	no roots annotated with IAO_0000700
hso	HSO	Health Surveillance Ontology	https://github.com/SVA-SE/HSO	no roots annotated with IAO_0000700
htn	HTN	Hypertension Ontology	https://github.com/aellenhicks/htn_owl	no roots annotated with IAO_0000700
iao	IAO	Information Artifact Ontology	https://github.com/information-artifact-ontology/IAO	no roots annotated with IAO_0000700
iceo	ICEO	Integrative and Conjugative Element Ontology	https://github.com/ontoice/ICEO	no roots annotated with IAO_0000700
ico	ICO	Informed Consent Ontology	https://github.com/ICO-ontology/ICO	no roots annotated with IAO_0000700
ido	IDO	Infectious Disease Ontology	https://github.com/infectious-disease-ontology/infectious-disease-ontology	no roots annotated with IAO_0000700
ino	INO	Interaction Network Ontology	https://github.com/INO-ontology/ino	no roots annotated with IAO_0000700
interpro	IPR	InterPro		no roots annotated with IAO_0000700
labo	LABO	clinical LABoratory Ontology	https://github.com/OpenLHS/LABO	no roots annotated with IAO_0000700
ma	MA	Mouse adult gross anatomy	https://github.com/obophenotype/adult-mouse-anatomy-ontology	no roots annotated with IAO_0000700
mamo	MAMO	Mathematical modeling ontology	https://github.com/cmungall/mamo	no roots annotated with IAO_0000700
mco	MCO	Microbial Conditions Ontology	https://github.com/microbial-conditions-ontology/microbial-conditions-ontology	no roots annotated with IAO_0000700
mcro	MCRO	Model Card Report Ontology	https://github.com/UTHealth-Ontology/MCRO	no roots annotated with IAO_0000700
mf	MF	Mental Functioning Ontology	https://github.com/jannahastings/mental-functioning-ontology	no roots annotated with IAO_0000700
mfoem	MFOEM	Emotion Ontology	https://github.com/jannahastings/emotion-ontology	no roots annotated with IAO_0000700
mfomd	MFOMD	Mental Disease Ontology	https://github.com/jannahastings/mental-functioning-ontology	malformed data
mi	MI	Molecular Interactions Controlled Vocabulary	https://github.com/HUPO-PSI/psi-mi-CV	no roots annotated with IAO_0000700
miapa	MIAPA	Minimum Anformation About a Phylogenetic Analysis Ontology	https://github.com/evoinfo/miapa	no roots annotated with IAO_0000700
mmo	MMO	Measurement method ontology	https://github.com/rat-genome-database/MMO-Measurement-Method-Ontology	no roots annotated with IAO_0000700
mod	MOD	PSI-MOD Protein Modifications Ontology	https://github.com/HUPO-PSI/psi-mod-CV	no roots annotated with IAO_0000700
mop	MOP	Molecular Process Ontology	https://github.com/rsc-ontologies/rxno	no roots annotated with IAO_0000700
mpath	MPATH	Mouse pathology ontology	https://github.com/PaulNSchofield/mpath	no roots annotated with IAO_0000700
mpio	MPIO	Minimum PDDI Information Ontology	https://github.com/MPIO-Developers/MPIO	no roots annotated with IAO_0000700
mro	MRO	MHC Restriction Ontology	https://github.com/IEDB/MRO	no roots annotated with IAO_0000700
ms	MS	Mass spectrometry ontology	https://github.com/HUPO-PSI/psi-ms-CV	no roots annotated with IAO_0000700
